orde	waterlichaam_code	waterlichaam_naam	categorie	categorie_2	type	statuut	speerpunt_aandachtsgebied	Stroomgebied	bekken	beoordeling_eco	beoordeling_fc	totale_beoordeling_bio	beoordeling_hydmo	fb_eqr	fb_beoordeling	fb_jaar	fp_eqr	fp_beoordeling	fp_jaar	mf_eqr	mf_beoordeling	mf_jaar	mmif_eqr	mmif_beoordeling	mmif_jaar	vis_eqr	vis_beoordeling	vis_jaar	AantalBemonsterdeBiota	AantalNietRelevanteBiota	AantalRelevanteBiota	VerhoudingBemonsterdeBiotaTovRelevanteBiota
L1	L107_5	BOLLAERTBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Ijzer	5	3	5	Matig	0.24	Ontoereikend	2017	NA	n.r.	NA	0.15	Slecht	2017	0.35	Ontoereikend	2016	0.43	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_464	LEYBEEK	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Dijle Zenne	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.45	Ontoereikend	2018	0.55	Matig	2013-2018	2	1	4	2/apr
L1	L107_66	KERKBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Brugse Polders	4	3	4	Matig	0.24	Ontoereikend	2013	NA	n.r.	NA	0.45	Matig	2018	0.3	Ontoereikend	2017	0.3	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_48	KANAAL VAN ESEN	rivier	rivier	Pz	Kunstmatig     	Andere         	 Schelde	Ijzer	5	3	5	Matig	0.26	Ontoereikend	2013	NA	n.r.	NA	0.19	Slecht	2018	0.2	Ontoereikend	2017	0.525	Matig	2013-2018	4	1	4	4/apr
L1	L107_287	MOLENBEEK - GROTE BEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Beneden-Schelde	4	3	4	Goed	0.25	Ontoereikend	2013	NA	n.r.	NA	0.22	Ontoereikend	2017	0.75	Goed	2018	0.415	Ontoereikend	2013-2018	4	1	4	4/apr
VL	VL11_109	KLEINE GETE + VLOEDGRACHT	rivier	rivier	Bg	Sterk Veranderd	Andere         	 Schelde	Demer	4	3	4	Matig	0.25	Ontoereikend	2017	NA	n.r.	NA	0.49	Matig	2014	0.55	Matig	2017	0.555	Matig	2013-2018	4	1	4	4/apr
VL	VL11_83	IJSSE	rivier	rivier	Bg	Sterk Veranderd	Speerpuntgebied	 Schelde	Dijle Zenne	4	3	4	Matig	0.25	Ontoereikend	2017	NA	n.r.	NA	0.61	Goed	2017	0.6	Matig	2017	0.59	Matig	2013-2018	4	1	4	4/apr
VL	VL05_64	ZWARTE SPIEREBEEK	rivier	rivier	Bg	Sterk Veranderd	Andere         	 Schelde	Boven-Schelde	5	3	5	Ontoereikend	0.27	Ontoereikend	2017	NA	n.r.	NA	0.08	Slecht	2013	0.2	Slecht	2018	0	Slecht	2013-2018	4	1	4	4/apr
L1	L107_239	OUDE MANDEL L1	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Leie	4	3	4	Goed	0.28	Ontoereikend	2013	NA	n.r.	NA	NA	n.b.	NA	0.75	Goed	2018	0.32	Ontoereikend	2013-2018	3	1	4	3/apr
L1	L107_601	DE AA (RAVELS)	rivier	rivier	BkK	Natuurlijk     	Andere         	 Maas	Maas	4	3	4	Matig	0.48	Matig	2013	NA	n.r.	NA	0.43	Matig	2016	0.65	Matig	2016	0.4	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_329	BLOKSTRAATBEEK	rivier	rivier	Pz	Sterk Veranderd	Andere         	 Schelde	Beneden-Schelde	4	3	4	Ontoereikend	0.28	Ontoereikend	2015	NA	n.r.	NA	0.63	Goed	2018	0.6	Goed	2018	0.6	Matig	2013-2018	4	1	4	4/apr
L1	L111_1018	LEEBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Boven-Schelde	4	3	4	Ontoereikend	0.28	Ontoereikend	2013	NA	n.r.	NA	0.25	Ontoereikend	2013	0.5	Matig	2018	0.35	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_607	MERKSKE L1	rivier	rivier	BkK	Natuurlijk     	Speerpuntgebied	 Maas	Maas	3	3	3	Goed	0.46	Matig	2016	NA	n.r.	NA	0.4	Matig	2016	0.9	Zeer goed	2016	0.45	Matig	2013-2018	4	1	4	4/apr
L1	L107_609	KLEINE MARK	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Maas	Maas	4	3	4	Matig	0.48	Matig	2016	NA	n.r.	NA	NA	n.b.	NA	0.65	Matig	2016	0.32	Ontoereikend	2013-2018	3	1	4	3/apr
L1	L111_1035	KOEVAARDEKEN	rivier	rivier	Pz	Sterk Veranderd	Aandachtsgebied	 Schelde	Ijzer	4	3	4	Matig	0.3	Ontoereikend	2017	NA	n.r.	NA	0.45	Matig	2017	0.75	Goed	2017	0.55	Matig	2013-2018	4	1	4	4/apr
L1	L107_610	MARK L1	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Maas	Maas	4	3	4	Goed	NA	n.b.	NA	NA	n.r.	NA	0.32	Ontoereikend	2016	0.65	Matig	2016	0.32	Ontoereikend	2013-2018	3	1	4	3/apr
VL	VL05_38	ZIELBEEK - BOSBEEK	rivier	rivier	Bg	Sterk Veranderd	Andere         	 Schelde	Beneden-Schelde	4	3	4	Ontoereikend	0.3	Ontoereikend	2014	NA	n.r.	NA	0.64	Goed	2018	0.7	Goed	2018	0.4	Matig	2013-2018	4	1	4	4/apr
L1	L107_614	WEERIJSEBEEK L1	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Maas	Maas	4	3	4	Matig	0.34	Ontoereikend	2013	NA	n.r.	NA	0.5	Matig	2016	0.75	Goed	2016	0.37	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_135	JABBEEKSE BEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Brugse Polders	4	3	4	Ontoereikend	0.31	Ontoereikend	2013	NA	n.r.	NA	NA	n.b.	NA	0.45	Ontoereikend	2017	0.43	Ontoereikend	2013-2018	3	1	4	3/apr
L1	L107_629	KLEIN WILBOEREBEEK	rivier	rivier	BkK	Natuurlijk     	Speerpuntgebied	 Schelde	Nete	3	3	3	Matig	0.47	Matig	2017	NA	n.r.	NA	0.43	Matig	2017	0.5	Matig	2017	0.465	Matig	2013-2018	4	1	4	4/apr
L1	L107_63	BOERGONJEVAART	rivier	rivier	Pz	Natuurlijk     	Andere         	 Schelde	Ijzer	4	3	4	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.3	Ontoereikend	2016	0.5	Matig	2013-2018	2	1	4	2/apr
L1	L107_631	MOLENBEEK - BOLLAAK L1	rivier	rivier	BkK	Natuurlijk     	Speerpuntgebied	 Schelde	Nete	3	3	3	Goed	0.42	Matig	2014	NA	n.r.	NA	0.47	Matig	2017	0.7	Goed	2017	0.55	Matig	2013-2018	4	1	4	4/apr
L1	L107_632	DE DELFTE BEEK	rivier	rivier	BkK	Natuurlijk     	Speerpuntgebied	 Schelde	Nete	3	3	3	Matig	0.73	Goed	2017	NA	n.r.	NA	0.53	Matig	2017	0.75	Goed	2017	0.63	Matig	2013-2018	4	1	4	4/apr
L1	L107_633	BOSBEEK - DIEPTELOOP	rivier	rivier	BkK	Natuurlijk     	Speerpuntgebied	 Schelde	Nete	3	3	3	Matig	NA	n.b.	NA	NA	n.r.	NA	0.57	Matig	2017	0.8	Goed	2017	0.55	Matig	2013-2018	3	1	4	3/apr
L1	L107_891	VOER (VOEREN)	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Maas	Maas	4	3	4	Goed	0.32	Ontoereikend	2013	NA	n.r.	NA	0.37	Ontoereikend	2013	0.6	Matig	2016	0.29	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_640	DE AA - NATTENLOOP	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Schelde	Nete	3	3	3	Matig	0.46	Matig	2017	NA	n.r.	NA	0.46	Matig	2013	0.55	Matig	2017	0.48	Matig	2013-2018	4	1	4	4/apr
L1	L107_644	ITTERBEEK (DUFFEL)	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Nete	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.3	Ontoereikend	2016	0.2	Slecht	2013-2018	2	1	4	2/apr
L1	L107_648	BRUINBEEK	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Dijle Zenne	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.4	Ontoereikend	2013	0.2	Slecht	2013-2018	2	1	4	2/apr
L1	L107_650	REEHAGENBEEK	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Dijle Zenne	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.4	Ontoereikend	2013	0.2	Slecht	2013-2018	2	1	4	2/apr
VL	VL05_12	POPERINGEVAART	rivier	rivier	Bg	Sterk Veranderd	Aandachtsgebied	 Schelde	Ijzer	4	3	4	Matig	0.33	Ontoereikend	2016	NA	n.r.	NA	0.33	Ontoereikend	2016	0.35	Ontoereikend	2017	0.515	Matig	2013-2018	4	1	4	4/apr
VL	VL05_97	DE HULPE - ZWART WATER	rivier	rivier	BgK	Sterk Veranderd	Aandachtsgebied	 Schelde	Demer	4	3	4	Matig	0.33	Ontoereikend	2017	NA	n.r.	NA	0.33	Ontoereikend	2017	0.55	Matig	2017	0.49	Matig	2013-2018	4	1	4	4/apr
L1	L107_4	KORVERSBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Ijzer	5	3	5	Matig	0.34	Ontoereikend	2018	NA	n.r.	NA	0	Slecht	2018	0.2	Slecht	2017	0.2	Slecht	2013-2018	4	1	4	4/apr
VL	VL05_61	RONE	rivier	rivier	Bg	Sterk Veranderd	Andere         	 Schelde	Boven-Schelde	5	3	5	Matig	0.34	Ontoereikend	2018	NA	n.r.	NA	0.15	Slecht	2013	0.5	Matig	2016	0	Slecht	2013-2018	4	1	4	4/apr
L1	L107_664	MOLENBEEK - ZIJP	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Beneden-Schelde	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.65	Matig	2018	0.366667	Ontoereikend	2013-2018	2	1	4	2/apr
L1	L107_665	BOUWBEEK	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Beneden-Schelde	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.3	Ontoereikend	2018	0	Slecht	2013-2018	2	1	4	2/apr
L1	L111_1016	WANTEBEEK	rivier	rivier	Bk	Sterk Veranderd	Aandachtsgebied	 Schelde	Gentse Kanalen	5	3	5	Matig	0.35	Ontoereikend	2013	NA	n.r.	NA	0.37	Ontoereikend	2013	0.45	Ontoereikend	2013	0.2	Slecht	2013-2018	4	1	4	4/apr
L1	L107_677	DIEPE BEEK	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Schelde	Beneden-Schelde	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.2	Slecht	2018	0.53	Matig	2013-2018	2	1	4	2/apr
L1	L107_681	KOUDE BEEK	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Schelde	Beneden-Schelde	3	3	3	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	0.5	Matig	2018	0.65	Matig	2018	0.515	Matig	2013-2018	3	1	4	3/apr
VL	VL05_131	WIMP	rivier	rivier	BgK	Sterk Veranderd	Andere         	 Schelde	Nete	4	3	4	Matig	0.35	Ontoereikend	2017	NA	n.r.	NA	0.62	Goed	2017	0.95	Goed	2017	0.33	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_688	LAARSE BEEK	rivier	rivier	BkK	Natuurlijk     	Andere         	 Schelde	Beneden-Schelde	3	3	3	Goed	0.42	Matig	2015	NA	n.r.	NA	0.47	Matig	2018	0.75	Goed	2018	0.505	Matig	2013-2018	4	1	4	4/apr
L1	L107_695	VARENDONKSE BEEK	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Schelde	Nete	3	3	3	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.5	Matig	2017	0.48	Matig	2013-2018	2	1	4	2/apr
L1	L107_47	ZARRENBEEK L1	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Ijzer	5	3	5	Matig	0.36	Ontoereikend	2013	NA	n.r.	NA	NA	n.b.	NA	0.25	Slecht	2016	0.4	Ontoereikend	2013-2018	3	1	4	3/apr
L1	L107_705	SCHEPPELIJKE NETE	rivier	rivier	BkK	Natuurlijk     	Andere         	 Schelde	Nete	4	3	4	Matig	0.79	Goed	2017	NA	n.r.	NA	0.63	Goed	2017	0.8	Goed	2017	0.38	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_706	MOLSE NETE L1	rivier	rivier	BkK	Natuurlijk     	Andere         	 Schelde	Nete	3	3	3	Goed	0.44	Matig	2017	NA	n.r.	NA	0.57	Matig	2014	0.8	Goed	2017	0.5	Matig	2013-2018	4	1	4	4/apr
L1	L107_708	GROTE NETE L1	rivier	rivier	BkK	Natuurlijk     	Speerpuntgebied	 Schelde	Nete	4	3	4	Goed	0.65	Goed	2013	NA	n.r.	NA	0.47	Matig	2016	0.8	Goed	2016	0.4225	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L111_1014	MEREBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Gentse Kanalen	4	3	4	Ontoereikend	0.36	Ontoereikend	2013	NA	n.r.	NA	0.55	Matig	2016	0.75	Goed	2013	0.37	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L111_1021	ZWALMBEEK	rivier	rivier	Bk	Sterk Veranderd	Aandachtsgebied	 Schelde	Boven-Schelde	4	3	4		0.36	Ontoereikend	2015	NA	n.r.	NA	0.27	Ontoereikend	2015	0.6	Matig	2016	0.33	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L111_1025	MAANBEEK	rivier	rivier	Bk	Sterk Veranderd	Speerpuntgebied	 Schelde	Beneden-Schelde	4	3	4	Matig	0.36	Ontoereikend	2017	NA	n.r.	NA	0.22	Ontoereikend	2017	0.75	Goed	2018	0.29	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_735	GESTELBEEK	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Schelde	Nete	5	3	5	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.55	Matig	2017	0.2	Slecht	2013-2018	2	1	4	2/apr
L1	L107_740	BERGEBEEK	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Nete	5	3	5	Ontoereikend	0.22	Ontoereikend	2013	NA	n.r.	NA	NA	n.b.	NA	0.75	Goed	2017	0.2	Slecht	2013-2018	3	1	4	3/apr
VL	VL05_62	STAMPKOTBEEK	rivier	rivier	Bg	Sterk Veranderd	Andere         	 Schelde	Boven-Schelde	4	3	4	Ontoereikend	0.36	Ontoereikend	2018	NA	n.r.	NA	NA	n.b.	NA	0.6	Matig	2018	0.4625	Matig	2013-2018	3	1	4	3/apr
L1	L111_298	OUDE DENDER	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Dender	4	3	4		0.37	Ontoereikend	2014	NA	n.r.	NA	0.42	Matig	2014	0.75	Goed	2018	0.4	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_78	DEVEBEEK L1	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Leie	5	3	5	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.05	Slecht	2014	0.2	Slecht	2013-2018	2	1	4	2/apr
L1	L117_232	JOBEEK	rivier	rivier	Bk	Sterk Veranderd	Aandachtsgebied	 Schelde	Brugse Polders	5	3	5	Ontoereikend	0.37	Ontoereikend	2013	NA	n.r.	NA	0.9	Goed	2013	0.25	Slecht	2014	0.23	Slecht	2013-2018	4	1	4	4/apr
L1	L107_809	KLEINE HERK L1	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Demer	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	0	Slecht	2018	0.45	Ontoereikend	2018	0.45	Matig	2013-2018	3	1	4	3/apr
L1	L107_810	WINTERBEEK (KORTESSEM)	rivier	rivier	Bk	Natuurlijk     	Speerpuntgebied	 Schelde	Demer	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	0.13	Slecht	2017	0.65	Matig	2017	0.37	Ontoereikend	2013-2018	3	1	4	3/apr
L1	L107_812	MOMBEEK L1	rivier	rivier	Bk	Natuurlijk     	Speerpuntgebied	 Schelde	Demer	5	3	5	Matig	0.4	Matig	2015	NA	n.r.	NA	0.02	Slecht	2017	0.65	Matig	2018	0.2	Slecht	2013-2018	4	1	4	4/apr
L1	L107_814	STEENLAAK	rivier	rivier	BkK	Natuurlijk     	Andere         	 Schelde	Demer	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	0.03	Slecht	2017	0.7	Goed	2017	NA	n.b.		2	1	4	2/apr
L1	L107_433	BEVERBEEK	rivier	rivier	Bk	Sterk Veranderd	Aandachtsgebied	 Schelde	Dender	5	3	5	Goed	0.38	Ontoereikend	2017	NA	n.r.	NA	0.08	Slecht	2017	0.5	Matig	2013	0.625	Matig	2013-2018	4	1	4	4/apr
L1	L107_824	ROELBEEK	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Demer	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.3	Ontoereikend	2016	0.23	Slecht	2013-2018	2	1	4	2/apr
L1	L111_1030	WATERGANG VAN DE MOERBEKEPOLDER	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Gentse Kanalen	5	3	5	Matig	0.38	Ontoereikend	2013	NA	n.r.	NA	0.13	Slecht	2013	0.8	Goed	2017	0.4	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_836	LAAMBEEK	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Schelde	Demer	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.43	Ontoereikend	2017	0.3	Ontoereikend	2013-2018	2	1	4	2/apr
L1	L107_839	ZONDERIKBEEK	rivier	rivier	BkK	Natuurlijk     	Andere         	 Schelde	Demer	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	0.43	Matig	2018	0.8	Goed	2018	0.355	Ontoereikend	2013-2018	3	1	4	3/apr
VL	VL05_124	GROTE NETE II	rivier	rivier	BgK	Sterk Veranderd	Aandachtsgebied	 Schelde	Nete	5	3	5	Matig	0.38	Ontoereikend	2013	NA	n.r.	NA	0	Slecht	2016	0.4	Ontoereikend	2016	0.55	Matig	2013-2018	4	1	4	4/apr
L1	L107_116	GROTE SPIERE	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Boven-Schelde	4	3	4	Matig	0.39	Ontoereikend	2013	NA	n.r.	NA	0.5	Matig	2016	0.4	Ontoereikend	2017	0.3	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L118_238	KROMMEDIJKBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Onbekend	4	3	4	Matig	0.39	Ontoereikend	2013	NA	n.r.	NA	NA	n.b.	NA	0.45	Ontoereikend	2018	0.32	Ontoereikend	2013-2018	3	1	4	3/apr
VL	VL11_33	MOLENBEEK - KOTTEMBEEK	rivier	rivier	Bg	Sterk Veranderd	Andere         	 Schelde	Beneden-Schelde	5	3	5	Ontoereikend	0.39	Ontoereikend	2017	NA	n.r.	NA	0.02	Slecht	2017	0.55	Matig	2017	0.45	Matig	2013-2018	4	1	4	4/apr
L1	L107_852	MUNSTERBEEK L1	rivier	rivier	BkK	Natuurlijk     	Speerpuntgebied	 Schelde	Demer	3	3	3	Matig	0.92	Zeer goed	2018	NA	n.r.	NA	0.4	Matig	2018	0.5	Matig	2016	0.45	Matig	2013-2018	4	1	4	4/apr
L1	L107_853	ZUTENDAALBEEK	rivier	rivier	BkK	Natuurlijk     	Speerpuntgebied	 Schelde	Demer	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	0.36	Ontoereikend	2018	0.6	Matig	2018	0.45	Matig	2013-2018	3	1	4	3/apr
L1	L107_854	BOLLISENBEEK	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Maas	Maas	5	3	5	Matig	0.78	Goed	2017	NA	n.r.	NA	0.4	Matig	2017	0.7	Goed	2017	0.2	Slecht	2013-2018	4	1	4	4/apr
L1	L107_855	DOMMEL L1	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Maas	Maas	5	3	5	Matig	0.61	Goed	2018	NA	n.r.	NA	0.4	Matig	2018	0.8	Goed	2018	0.2	Slecht	2013-2018	4	1	4	4/apr
L1	L107_856	HOLVENLOOP	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Maas	Maas	4	3	4	Ontoereikend	0.47	Matig	2017	NA	n.r.	NA	0.37	Ontoereikend	2017	0.4	Ontoereikend	2017	0.43	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_857	EINDERGATLOOP	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Maas	Maas	4	3	4	Ontoereikend	0.59	Matig	2017	NA	n.r.	NA	0.37	Ontoereikend	2017	0.35	Ontoereikend	2017	0.43	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_858	WARMBEEK L1	rivier	rivier	BkK	Natuurlijk     	Speerpuntgebied	 Maas	Maas	3	3	3	Goed	0.53	Matig	2018	NA	n.r.	NA	0.6	Goed	2016	0.9	Zeer goed	2018	0.59	Matig	2013-2018	4	1	4	4/apr
L1	L107_859	PRINSENLOOP	rivier	rivier	BkK	Natuurlijk     	Andere         	 Maas	Maas	3	3	3	Goed	0.53	Matig	2018	NA	n.r.	NA	0.6	Goed	2016	0.9	Zeer goed	2018	0.63	Matig	2013-2018	4	1	4	4/apr
L1	L107_861	ABEEK L1	rivier	rivier	BkK	Natuurlijk     	Speerpuntgebied	 Maas	Maas	4	3	4	Goed	0.62	Goed	2018	NA	n.r.	NA	0.3	Ontoereikend	2018	0.6	Matig	2016	0.63	Matig	2013-2018	4	1	4	4/apr
L1	L107_866	LOSSING L1	rivier	rivier	BkK	Kunstmatig     	Aandachtsgebied	 Maas	Maas	4	3	4	Matig	0.55	Matig	2016	NA	n.r.	NA	0.4	Matig	2016	0.75	Goed	2016	0.43	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_869	SOERBEEK	rivier	rivier	BkK	Natuurlijk     	Speerpuntgebied	 Maas	Maas	4	3	4	Matig	0.36	Ontoereikend	2014	NA	n.r.	NA	0.56	Matig	2014	0.7	Goed	2018	0.43	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_876	BOSBEEK L1	rivier	rivier	BkK	Natuurlijk     	Speerpuntgebied	 Maas	Maas	5	3	5	Zeer goed	NA	n.b.	NA	NA	n.r.	NA	0.1	Slecht	2017	0.6	Matig	2018	0.436667	Ontoereikend	2013-2018	3	1	4	3/apr
L1	L107_279	MOLENBEEK - VOGELENZANGBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Dender	5	3	5	Matig	0.4	Matig	2016	NA	n.r.	NA	0.35	Ontoereikend	2016	0.45	Ontoereikend	2018	0.2	Slecht	2013-2018	4	1	4	4/apr
L1	L111_1052	LAAKBEEK	rivier	rivier	BkK	Sterk Veranderd	Speerpuntgebied	 Schelde	Nete	3	3	3	Matig	0.4	Matig	2017	NA	n.r.	NA	0.65	Goed	2017	0.7	Goed	2017	0.5	Matig	2013-2018	4	1	4	4/apr
VL	VL05_121	AA II	rivier	rivier	BgK	Sterk Veranderd	Speerpuntgebied	 Schelde	Nete	3	3	3	Matig	0.4	Matig	2017	NA	n.r.	NA	0.61	Goed	2013	0.85	Goed	2018	0.65	Goed	2013-2018	4	1	4	4/apr
L1	L111_315	FONDATIEGRACHT	rivier	rivier	Bk	Sterk Veranderd	Aandachtsgebied	 Schelde	Gentse Kanalen	4	3	4		0.41	Matig	2017	NA	n.r.	NA	0.35	Ontoereikend	2017	NA	n.b.	NA	0.4	Ontoereikend	2013-2018	3	1	4	3/apr
VL	VL05_2	GROTE KEMMELBEEK	rivier	rivier	Bg	Sterk Veranderd	Aandachtsgebied	 Schelde	Ijzer	3	3	3	Matig	0.41	Matig	2016	NA	n.r.	NA	0.4	Matig	2016	0.5	Matig	2017	0.49	Matig	2013-2018	4	1	4	4/apr
VL	VL05_99	DEMER II	rivier	rivier	Bg	Sterk Veranderd	Aandachtsgebied	 Schelde	Demer	4	3	4	Matig	0.42	Matig	2016	NA	n.r.	NA	0.33	Ontoereikend	2016	0.55	Matig	2016	0.415	Matig	2013-2018	4	1	4	4/apr
L1	L107_893	GULP	rivier	rivier	Bk	Natuurlijk     	Andere         	 Maas	Maas	4	3	4	Goed	NA	n.b.	NA	NA	n.r.	NA	0.37	Ontoereikend	2018	0.9	Zeer goed	2018	0.29	Ontoereikend	2013-2018	3	1	4	3/apr
VL	VL11_91	WOLUWE	rivier	rivier	Bg	Sterk Veranderd	Aandachtsgebied	 Schelde	Dijle Zenne	4	3	4	Slecht	0.42	Matig	2017	NA	n.r.	NA	0.44	Matig	2017	0.25	Ontoereikend	2017	0.53	Goed	2013-2018	4	1	4	4/apr
L1	L107_236	NEERSCHUURBEEK	rivier	rivier	Bk	Sterk Veranderd	Aandachtsgebied	 Schelde	Gentse Kanalen	4	3	4	Matig	0.44	Matig	2016	NA	n.r.	NA	0.68	Goed	2016	0.75	Goed	2014	0.37	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_702	MILLEGEMLOOP	rivier	rivier	BkK	Sterk Veranderd	Andere         	 Schelde	Nete	3	3	3	Ontoereikend	0.44	Matig	2014	NA	n.r.	NA	0.5	Matig	2014	0.75	Goed	2018	0.48	Matig	2013-2018	4	1	4	4/apr
L1	L107_98	GAVERBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Leie	5	3	5	Ontoereikend	0.44	Matig	2018	NA	n.r.	NA	0.08	Slecht	2018	0.4	Ontoereikend	2017	0.2	Slecht	2013-2018	4	1	4	4/apr
L1	L110_1100	ZILVERBEEK	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Dijle Zenne	4	3	4	Ontoereikend	0.64	Goed	2014	NA	n.r.	NA	0.45	Matig	2018	0.9	Zeer goed	2018	0.4	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L111_326	BARBIERBEEK	rivier	rivier	Bk	Sterk Veranderd	Aandachtsgebied	 Schelde	Beneden-Schelde	4	3	4	Matig	0.44	Matig	2018	NA	n.r.	NA	0.3	Ontoereikend	2018	0.55	Matig	2018	0.29	Ontoereikend	2013-2018	4	1	4	4/apr
VL	VL05_32	MOLENBEEK - GROTE BEEK	rivier	rivier	Bg	Sterk Veranderd	Andere         	 Schelde	Beneden-Schelde	5	3	5	Matig	0.44	Matig	2017	NA	n.r.	NA	0.18	Slecht	2017	0.5	Matig	2017	0.45	Matig	2013-2018	4	1	4	4/apr
