IDPlots	IDGroup	Periode	PlotWeight	Paired_1_2	DivK	Div	NbHerb	NbOudbos	NbSpecRare	NbBos	NbOpen	NbEdge	NbIndif	NbUitheems	OwnerType	ForestAge	Frag	fPeriode	fpnv	fpnvGroup	Rand	FragInv	Fragclass	Bos01
35114	35114_2	2	0.61	FALSE	1.93819942469066	8.98917539497822	12	0	0	1	0	1	6	0	Private	recent	0.3933358	2	79	Arm Eiken-beukenbos	Rand	0.6066642	50% tot < 75%	1
35124	35124_1	2	1	FALSE	0.0583190369072039	1.12268909678887	4	0	0	0	0	0	1	0	Public	recent	0.4095405	2	79	Arm Eiken-beukenbos	Volledig in bos	0.5904595	50% tot < 75%	0
35129	35129_1	1	1	TRUE	1.02003695840184	5.82671678862833	4	0	0	0	0	0	1	0	Private	recent	0.6937266	1	79	Arm Eiken-beukenbos	Volledig in bos	0.3062734	25% tot < 50%	0
35129	35129_1	2	1	TRUE	0.964656060175378	4.2756934702086	4	0	0	0	0	0	1	0	Public	recent	0.6937266	2	79	Arm Eiken-beukenbos	Volledig in bos	0.3062734	25% tot < 50%	0
35132	35132_1	1	1	FALSE	0.83275570046462	2.47996613742271	5	0	0	0	0	0	3	0	Public	recent	0.5823411	1	79	Arm Eiken-beukenbos	Volledig in bos	0.4176589	25% tot < 50%	0
35132	35132_2	2	1	FALSE	0.812034003502337	4.51260155697899	5	0	0	1	0	0	2	0	Public	recent	0.5823411	2	79	Arm Eiken-beukenbos	Volledig in bos	0.4176589	25% tot < 50%	1
35140	35140_1	2	1	FALSE	0.44887905234661	2.26908897680095	4	0	0	0	0	0	2	0	Public	recent	0.6540228	2	79	Arm Eiken-beukenbos	Volledig in bos	0.3459772	25% tot < 50%	0
35145	35145_1	1	1	TRUE	1.62107523408954	8.99477283980525	7	1	0	0	0	0	3	0	Public	recent	0.6440949	1	79	Arm Eiken-beukenbos	Volledig in bos	0.3559051	25% tot < 50%	0
35145	35145_1	2	1	TRUE	1.06972176495514	4.74906010334488	8	1	0	0	0	2	2	0	Public	recent	0.6440949	2	79	Arm Eiken-beukenbos	Volledig in bos	0.3559051	25% tot < 50%	0
35148	35148_1	1	1	FALSE	0.483125366614205	2.34215117594822	5	0	0	1	0	0	1	0	Public	recent	0.6982925	1	78	Arm Eiken-beukenbos	Volledig in bos	0.3017075	25% tot < 50%	1
35148	35148_2	2	1	FALSE	0.372480718452191	2.4148894100784	2	0	0	0	0	0	0	0	Public	recent	0.6982925	2	78	Arm Eiken-beukenbos	Volledig in bos	0.3017075	25% tot < 50%	0
35149	35149_2	2	0.59	FALSE	0.100150445701215	1.10533719879718	4	1	0	1	0	0	1	0	Private	NA	0.5674633	2	79	Arm Eiken-beukenbos	Rand	0.4325367	25% tot < 50%	1
35157	35157_2	2	0.83	FALSE	1.62107523408954	6.63259740855385	7	1	0	1	0	0	4	0	Private	recent	0.730021	2	79	Arm Eiken-beukenbos	Rand	0.269979	25% tot < 50%	1
47136	47136_1	1	1	FALSE	1.79223680532717	8.67674326962675	13	1	1	1	0	0	8	1	Public	recent	NA	1	78	Arm Eiken-beukenbos	Volledig in bos	NA	NA	1
48063	48063_2	2	1	FALSE	1.53715813241291	4.6513529413679	11	0	1	0	1	1	7	0	Public	NA	0.1093765	2	78	Arm Eiken-beukenbos	Volledig in bos	0.8906235	75% tot < 95%	0
48064	48064_2	2	1	FALSE	0.321863830031307	1.45606725449328	2	0	0	0	1	1	0	0	Public	NA	0.4877646	2	40	Elzen-vogelkersbos	Volledig in bos	0.5122354	50% tot < 75%	0
48072	48072_2	2	1	FALSE	1.33097267056445	3.94043035492797	8	0	0	1	2	1	1	0	Public	NA	0.4955654	2	40	Elzen-vogelkersbos	Volledig in bos	0.5044346	50% tot < 75%	1
48113	48113_1	1	1	FALSE	2.20028582829867	9.62301609904967	23	0	0	0	3	2	7	1	Public	recent	0.7139005	1	78	Arm Eiken-beukenbos	Volledig in bos	0.2860995	25% tot < 50%	0
48113	48113_2	2	1	FALSE	0.738369089353825	2.48318427918403	5	1	0	1	1	1	1	0	Public	recent	0.7139005	2	78	Arm Eiken-beukenbos	Volledig in bos	0.2860995	25% tot < 50%	1
55115	55115_1	1	1	FALSE	2.50514637290542	12.4277106204083	23	1	3	2	0	1	12	0	Public	recent	0.2015045	1	40	Elzen-vogelkersbos	Volledig in bos	0.7984955	75% tot < 95%	1
55115	55115_2	2	1	FALSE	1.23763739775913	3.89197287937655	14	0	2	1	1	2	6	0	Private	recent	0.2015045	2	40	Elzen-vogelkersbos	Volledig in bos	0.7984955	75% tot < 95%	1
56018	56018_2	2	0.63	FALSE	0.461816585666261	1.72838483325726	7	1	0	1	0	0	2	0	Private	NA	0.4685218	2	78	Arm Eiken-beukenbos	Rand	0.5314782	50% tot < 75%	1
56019	56019_1	1	1	FALSE	1.41573590130937	6.84653595685167	6	0	0	0	0	0	5	0	Private	recent	NA	1	78	Arm Eiken-beukenbos	Volledig in bos	NA	NA	0
72144	72144_2	2	0.61	FALSE	1.99460938327114	10.8510541922926	23	0	1	0	3	0	10	0	Public	NA	0.2010239	2	40	Elzen-vogelkersbos	Rand	0.7989761	75% tot < 95%	0
73040	73040_2	2	0.65	FALSE	0.546442968370267	2.12119108949182	4	0	0	0	0	0	2	0	Private	recent	0.5962842	2	79	Arm Eiken-beukenbos	Rand	0.4037158	25% tot < 50%	0
73054	73054_2	2	0.39	FALSE	1.55765001552435	6.92084663720646	7	2	0	0	1	0	4	0	Private	recent	0.3033586	2	69	Eiken-beukenbos	Rand	0.6966414	50% tot < 75%	0
73062	73062_2	2	0.92	FALSE	1.61357841287469	6.82456415958236	8	2	0	0	1	0	4	0	Private	recent	0.61524	2	69	Eiken-beukenbos	Rand	0.38476	25% tot < 50%	0
73063	73063_1	2	1	FALSE	0.465999256961043	1.8389035122718	2	0	0	0	0	0	1	0	Public	recent	0.5168937	2	78	Arm Eiken-beukenbos	Volledig in bos	0.4831063	25% tot < 50%	0
73064	73064_2	2	1	FALSE	1.05837634967827	7.62583240859544	3	0	0	0	1	0	1	0	Private	recent	0.7100561	2	78	Arm Eiken-beukenbos	Volledig in bos	0.2899439	25% tot < 50%	0
73086	73086_2	2	1	FALSE	0.227381086896744	1.98829525802832	2	0	0	0	0	0	1	0	Private	NA	0.8252877	2	78	Arm Eiken-beukenbos	Volledig in bos	0.1747123	5% tot < 25%	0
73087	73087_1	1	1	FALSE	0.131464917487214	1.26272610308959	4	0	1	0	0	0	3	0	Public	recent	NA	1	78	Arm Eiken-beukenbos	Volledig in bos	NA	NA	0
73120	73120_1	1	1	FALSE	0.500402423538188	7.30309450104061	2	0	0	0	0	1	1	0	Public	recent	0.5402793	1	78	Arm Eiken-beukenbos	Volledig in bos	0.4597207	25% tot < 50%	0
73120	73120_2	2	1	FALSE	1.27413017368808	6.06573974389999	7	0	0	0	2	0	3	0	Private	recent	0.5402793	2	78	Arm Eiken-beukenbos	Volledig in bos	0.4597207	25% tot < 50%	0
73154	73154_2	2	0.88	FALSE	0.964481409422955	5.21784873271596	3	2	0	0	0	0	1	0	Private	recent	0.7512088	2	78	Arm Eiken-beukenbos	Rand	0.2487912	5% tot < 25%	0
74013	74013_1	2	1	FALSE	1.86716695934613	9.4309109355167	7	2	0	1	0	0	3	0	Public	recent	0.3495947	2	78	Arm Eiken-beukenbos	Volledig in bos	0.6504053	50% tot < 75%	1
74017	74017_1	1	1	FALSE	0.693147180559945	1.70479049312321	2	0	0	0	0	0	0	0	Private	recent	0.8358448	1	79	Arm Eiken-beukenbos	Volledig in bos	0.1641552	5% tot < 25%	0
74017	74017_2	2	1	FALSE	0	2.29440078242065	1	0	0	0	0	0	0	0	Private	recent	0.8358448	2	79	Arm Eiken-beukenbos	Volledig in bos	0.1641552	5% tot < 25%	0
74018	74018_1	1	1	FALSE	0.64285153264982	4.11051764197014	5	0	0	0	0	0	2	0	Public	recent	0.825383	1	69	Eiken-beukenbos	Volledig in bos	0.174617	5% tot < 25%	0
74018	74018_2	2	1	FALSE	0.751894040413082	3.07303845266435	5	0	0	0	0	0	2	0	Public	recent	0.825383	2	69	Eiken-beukenbos	Volledig in bos	0.174617	5% tot < 25%	0
74019	74019_1	1	1	TRUE	0.533442225251765	2.79020812841187	5	0	0	0	1	0	1	0	Private	recent	0.4370874	1	78	Arm Eiken-beukenbos	Volledig in bos	0.5629126	50% tot < 75%	0
74019	74019_1	2	0.95	TRUE	0.372480718452191	1.65943496216877	2	0	0	0	0	0	0	0	Private	recent	0.4370874	2	78	Arm Eiken-beukenbos	Rand	0.5629126	50% tot < 75%	0
74026	74026_2	2	1	FALSE	0.150881147948234	1.2858025650033	2	0	0	0	0	0	1	0	Public	recent	0.853356	2	79	Arm Eiken-beukenbos	Volledig in bos	0.146644	5% tot < 25%	0
74034	74034_1	1	1	FALSE	0.223718076065834	3.28033052655905	2	1	0	0	0	0	1	0	Public	recent	0.7927126	1	78	Arm Eiken-beukenbos	Volledig in bos	0.2072874	5% tot < 25%	0
74034	74034_2	2	1	FALSE	1.49297966393992	5.52500537174768	14	1	0	0	2	0	6	1	Public	recent	0.7927126	2	78	Arm Eiken-beukenbos	Volledig in bos	0.2072874	5% tot < 25%	0
74041	74041_2	2	1	FALSE	1.69237978425807	6.50971056563053	11	1	0	0	0	0	8	0	Private	recent	0.7017481	2	79	Arm Eiken-beukenbos	Volledig in bos	0.2982519	25% tot < 50%	0
74049	74049_1	1	1	FALSE	0.945995446965468	2.68819367275986	5	0	0	0	0	0	2	0	Private	recent	0.7807733	1	79	Arm Eiken-beukenbos	Volledig in bos	0.2192267	5% tot < 25%	0
74049	74049_2	2	0.89	FALSE	2.13390464701661	8.92954853832706	26	0	0	0	5	1	10	1	Private	recent	0.7807733	2	79	Arm Eiken-beukenbos	Rand	0.2192267	5% tot < 25%	0
74050	74050_1	1	1	TRUE	0.0618907506657226	1.26759876827653	2	0	0	0	0	0	1	0	Private	recent	0.7097855	1	79	Arm Eiken-beukenbos	Volledig in bos	0.2902145	25% tot < 50%	0
74050	74050_1	2	0.93	TRUE	0	1.01973453868124	1	0	0	0	0	0	1	0	Private	recent	0.7097855	2	79	Arm Eiken-beukenbos	Rand	0.2902145	25% tot < 50%	0
74057	74057_1	2	1	FALSE	0	1.2152682680913	1	0	0	0	0	0	1	0	Private	recent	0.7984406	2	79	Arm Eiken-beukenbos	Volledig in bos	0.2015594	5% tot < 25%	0
74065	74065_1	2	1	FALSE	0.405593546238228	2.0156935706604	9	0	0	0	1	1	4	0	Private	recent	0.670754	2	78	Arm Eiken-beukenbos	Volledig in bos	0.329246	25% tot < 50%	0
74066	74066_1	1	1	FALSE	0	2.05718273770212	1	0	0	0	0	0	1	0	Private	recent	0.8629295	1	78	Arm Eiken-beukenbos	Volledig in bos	0.1370705	5% tot < 25%	0
74066	74066_2	2	1	FALSE	0.120456033849227	1.51517678241299	2	0	0	0	0	0	1	0	Private	recent	0.8629295	2	78	Arm Eiken-beukenbos	Volledig in bos	0.1370705	5% tot < 25%	0
74067	74067_1	1	1	TRUE	0	1.5516524567822	1	0	0	0	0	0	0	0	Private	oud	0.7457027	1	20	Elzenbroekbos	Volledig in bos	0.2542973	25% tot < 50%	0
74067	74067_1	2	1	TRUE	0	3	1	0	0	0	0	0	0	0	Private	oud	0.7457027	2	20	Elzenbroekbos	Volledig in bos	0.2542973	25% tot < 50%	0
74072	74072_2	2	0.58	FALSE	0.58237261244389	2.03899790776586	9	0	0	0	3	0	4	0	Private	NA	0.1453559	2	79	Arm Eiken-beukenbos	Rand	0.8546441	75% tot < 95%	0
74074	74074_2	2	1	FALSE	NA	2.29440078242065	0	0	0	0	0	0	0	0	Private	recent	0.8875985	2	69	Eiken-beukenbos	Volledig in bos	0.1124015	5% tot < 25%	0
74082	74082_1	1	1	FALSE	0.693147180559945	1.56938929575249	2	0	0	1	0	0	1	0	Private	recent	0.8300169	1	69	Eiken-beukenbos	Volledig in bos	0.1699831	5% tot < 25%	1
74082	74082_2	2	1	FALSE	2.05575023875123	9.00180671313464	14	1	0	1	1	0	7	1	Private	recent	0.8300169	2	69	Eiken-beukenbos	Volledig in bos	0.1699831	5% tot < 25%	1
74087	74087_1	1	1	TRUE	NA	1.65970447236523	0	0	0	0	0	0	0	0	Private	recent	0.5670768	1	78	Arm Eiken-beukenbos	Volledig in bos	0.4329232	25% tot < 50%	0
74087	74087_1	2	1	TRUE	0	2.3811015779523	1	0	0	0	0	0	0	0	Public	recent	0.5670768	2	78	Arm Eiken-beukenbos	Volledig in bos	0.4329232	25% tot < 50%	0
74088	74088_1	1	1	FALSE	1.37920869126131	3.97175749725441	6	1	0	0	2	0	2	1	Private	recent	0.329719	1	79	Arm Eiken-beukenbos	Volledig in bos	0.670281	50% tot < 75%	0
74088	74088_2	2	1	FALSE	1.56329069226993	5.3024561821289	9	1	0	0	0	0	6	0	Private	recent	0.329719	2	79	Arm Eiken-beukenbos	Volledig in bos	0.670281	50% tot < 75%	0
74090	74090_2	2	1	FALSE	1.02003695840184	6.9420712421392	4	0	0	1	0	0	1	0	Private	NA	0.7604446	2	69	Eiken-beukenbos	Volledig in bos	0.2395554	5% tot < 25%	1
74128	74128_2	2	0.63	FALSE	0.812251984624852	4.93268936390947	7	0	0	1	2	0	3	0	Private	NA	0.5759457	2	78	Arm Eiken-beukenbos	Rand	0.4240543	25% tot < 50%	1
74129	74129_1	1	1	FALSE	0.509929914981288	3.55605608614101	3	0	0	0	0	0	1	0	Public	recent	0.6831352	1	78	Arm Eiken-beukenbos	Volledig in bos	0.3168648	25% tot < 50%	0
74129	74129_2	2	1	FALSE	0.0618907506657226	1.17361027275842	2	0	0	0	0	0	2	0	Public	recent	0.6831352	2	78	Arm Eiken-beukenbos	Volledig in bos	0.3168648	25% tot < 50%	0
74130	74130_1	1	1	FALSE	0	1.82242143054562	1	0	0	0	0	0	0	0	Private	recent	0.7730623	1	79	Arm Eiken-beukenbos	Volledig in bos	0.2269377	5% tot < 25%	0
74130	74130_2	2	1	FALSE	1.19354960409813	7.82314067084099	4	1	0	0	0	0	2	0	Private	recent	0.7730623	2	79	Arm Eiken-beukenbos	Volledig in bos	0.2269377	5% tot < 25%	0
74135	74135_1	1	1	FALSE	0.223718076065834	1.25071836227823	2	0	0	0	1	0	0	0	Private	recent	0.5627759	1	79	Arm Eiken-beukenbos	Volledig in bos	0.4372241	25% tot < 50%	0
74135	74135_2	2	0.6	FALSE	2.07802246052874	12.5943377440444	11	1	0	2	0	0	6	0	Private	recent	0.5627759	2	79	Arm Eiken-beukenbos	Rand	0.4372241	25% tot < 50%	1
74137	74137_1	2	1	FALSE	0.122524721154416	1.2947779257259	3	0	0	0	0	0	3	0	Public	recent	0.6722386	2	79	Arm Eiken-beukenbos	Volledig in bos	0.3277614	25% tot < 50%	0
74143	74143_1	2	1	FALSE	0	5.91228979995411	1	0	0	0	0	0	0	0	Private	recent	0.7188184	2	79	Arm Eiken-beukenbos	Volledig in bos	0.2811816	25% tot < 50%	0
74145	74145_1	1	1	TRUE	0.0389817322196574	1.12651787868723	3	0	0	0	0	0	1	0	Private	oud	0.800062	1	79	Arm Eiken-beukenbos	Volledig in bos	0.199938	5% tot < 25%	0
74145	74145_1	2	1	TRUE	0.0259898735319368	1.11217857611002	2	0	0	0	0	0	1	0	Private	oud	0.800062	2	79	Arm Eiken-beukenbos	Volledig in bos	0.199938	5% tot < 25%	0
74146	74146_1	1	1	FALSE	0.693147180559945	6.22661190791741	2	0	0	0	0	0	1	0	Public	recent	NA	1	78	Arm Eiken-beukenbos	Volledig in bos	NA	NA	0
74151	74151_1	1	1	FALSE	1.3896811919839	4.94815466539835	5	1	0	0	0	0	2	0	Private	recent	NA	1	79	Arm Eiken-beukenbos	Volledig in bos	NA	NA	0
74156	74156_1	2	1	FALSE	0.66619883576744	4.38687895625672	4	0	0	0	0	0	1	0	Public	recent	0.8482684	2	78	Arm Eiken-beukenbos	Volledig in bos	0.1517316	5% tot < 25%	0
74157	74157_1	2	1	FALSE	0	1	1	0	0	0	0	0	1	0	Public	recent	0.6110495	2	78	Arm Eiken-beukenbos	Volledig in bos	0.3889505	25% tot < 50%	0
75149	75149_1	1	1	TRUE	1.09338298931674	4.33594718198901	11	0	0	1	0	1	4	0	Private	NA	0.2883037	1	79	Arm Eiken-beukenbos	Volledig in bos	0.7116963	50% tot < 75%	1
75149	75149_1	2	1	TRUE	1.52549276877976	5.58187108658341	9	0	0	1	0	0	4	0	Private	NA	0.2883037	2	79	Arm Eiken-beukenbos	Volledig in bos	0.7116963	50% tot < 75%	1
76048	76048_2	2	0.79	FALSE	1.90094038305744	7.58951810010242	17	1	0	1	1	0	13	1	Public	NA	0.4802896	2	69	Eiken-beukenbos	Rand	0.5197104	50% tot < 75%	1
77011	77011_2	2	1	FALSE	1.01950299689475	5.38960774672408	4	0	0	0	0	0	2	0	Public	NA	0.6458609	2	69	Eiken-beukenbos	Volledig in bos	0.3541391	25% tot < 50%	0
77012	77012_2	2	1	FALSE	0.251383087593031	1.92645738829407	4	0	0	0	0	1	0	0	Private	recent	0.8074953	2	78	Arm Eiken-beukenbos	Volledig in bos	0.1925047	5% tot < 25%	0
77013	77013_2	2	0.89	FALSE	NA	2.33637477124936	0	0	0	0	0	0	0	0	Private	oud	0.848246	2	78	Arm Eiken-beukenbos	Rand	0.151754	5% tot < 25%	0
77015	77015_1	2	1	FALSE	0	3.23760054821159	1	0	0	0	0	0	1	0	Private	recent	0.5635495	2	79	Arm Eiken-beukenbos	Volledig in bos	0.4364505	25% tot < 50%	0
77016	77016_2	2	1	FALSE	0.348500950045903	2.40161383834276	7	1	0	0	0	0	3	0	Private	recent	0.8426553	2	79	Arm Eiken-beukenbos	Volledig in bos	0.1573447	5% tot < 25%	0
77021	77021_1	1	1	FALSE	NA	1.30351806114241	0	0	0	0	0	0	0	0	Private	recent	0.8106341	1	79	Arm Eiken-beukenbos	Volledig in bos	0.1893659	5% tot < 25%	0
77021	77021_2	2	1	FALSE	1.3896811919839	6.57176299686144	5	0	0	0	0	0	3	0	Public	recent	0.8106341	2	79	Arm Eiken-beukenbos	Volledig in bos	0.1893659	5% tot < 25%	0
77024	77024_1	1	1	FALSE	1.85465261855982	9.62197225874882	8	1	0	1	0	0	4	0	Private	oud	0.8469892	1	79	Arm Eiken-beukenbos	Volledig in bos	0.1530108	5% tot < 25%	1
77024	77024_2	2	1	FALSE	0.772220169052904	2.73490417638562	6	0	0	0	0	0	3	0	Private	oud	0.8469892	2	79	Arm Eiken-beukenbos	Volledig in bos	0.1530108	5% tot < 25%	0
77032	77032_2	2	1	FALSE	0.500620691875593	1.64974493625555	4	0	0	0	0	0	3	0	Public	NA	0.5407416	2	79	Arm Eiken-beukenbos	Volledig in bos	0.4592584	25% tot < 50%	0
77038	77038_1	1	1	FALSE	0.668017818660753	4.75682846001088	3	0	0	0	0	0	1	0	Private	oud	0.4648949	1	79	Arm Eiken-beukenbos	Volledig in bos	0.5351051	50% tot < 75%	0
77038	77038_2	2	1	FALSE	2.12103879360144	12.8178382445258	10	1	0	0	2	0	5	0	Public	oud	0.4648949	2	79	Arm Eiken-beukenbos	Volledig in bos	0.5351051	50% tot < 75%	0
77040	77040_1	1	1	TRUE	NA	1.53088875019617	0	0	0	0	0	0	0	0	Private	oud	0.7341049	1	79	Arm Eiken-beukenbos	Volledig in bos	0.2658951	25% tot < 50%	0
77040	77040_1	2	1	TRUE	NA	1.39191518652021	0	0	0	0	0	0	0	0	Public	oud	0.7341049	2	79	Arm Eiken-beukenbos	Volledig in bos	0.2658951	25% tot < 50%	0
77048	77048_1	2	1	FALSE	0.120456033849227	1.73861433939994	2	0	0	0	0	0	1	0	Private	recent	0.8882487	2	79	Arm Eiken-beukenbos	Volledig in bos	0.1117513	5% tot < 25%	0
77056	77056_1	1	1	FALSE	NA	2.11965974408157	0	0	0	0	0	0	0	0	Private	recent	0.8214512	1	79	Arm Eiken-beukenbos	Volledig in bos	0.1785488	5% tot < 25%	0
77056	77056_2	2	1	FALSE	0.23547067224597	1.79351052205072	3	1	0	0	0	0	2	0	Public	recent	0.8214512	2	79	Arm Eiken-beukenbos	Volledig in bos	0.1785488	5% tot < 25%	0
77087	77087_1	1	1	TRUE	NA	3.82438926052971	0	0	0	0	0	0	0	0	Public	recent	0.7296266	1	20	Elzenbroekbos	Volledig in bos	0.2703734	25% tot < 50%	0
77087	77087_1	2	1	TRUE	NA	1.2218603965784	0	0	0	0	0	0	0	0	Public	recent	0.7296266	2	20	Elzenbroekbos	Volledig in bos	0.2703734	25% tot < 50%	0
77150	77150_2	2	0.84	FALSE	1.66733698820895	6.20274768781016	13	0	0	0	0	2	8	0	Public	NA	0.402751	2	20	Elzenbroekbos	Rand	0.597249	50% tot < 75%	0
78005	78005_1	1	1	TRUE	0	1	1	0	0	0	0	0	1	0	Public	recent	0.3735477	1	69	Eiken-beukenbos	Volledig in bos	0.6264523	50% tot < 75%	0
78005	78005_1	2	1	TRUE	0.0618907506657226	1.24461198483575	2	0	0	0	0	0	2	0	Public	recent	0.3735477	2	69	Eiken-beukenbos	Volledig in bos	0.6264523	50% tot < 75%	0
78017	78017_1	1	1	FALSE	0.0259898735319368	1.80850996012974	2	0	0	0	0	0	1	0	Private	recent	0.7942913	1	78	Arm Eiken-beukenbos	Volledig in bos	0.2057087	5% tot < 25%	0
78017	78017_2	2	0.53	FALSE	0.200374612470783	1.8378920774643	2	0	0	0	0	0	1	0	Private	recent	0.7942913	2	78	Arm Eiken-beukenbos	Rand	0.2057087	5% tot < 25%	0
78019	78019_1	1	1	FALSE	0.820077725901348	5.32803236301067	4	2	0	1	0	1	1	1	Private	oud	0.8551565	1	78	Arm Eiken-beukenbos	Volledig in bos	0.1448435	5% tot < 25%	1
78019	78019_2	2	1	FALSE	1.04005496568204	3.86246135016145	5	1	1	2	0	0	1	0	Private	oud	0.8551565	2	78	Arm Eiken-beukenbos	Volledig in bos	0.1448435	5% tot < 25%	1
78022	78022_1	1	1	TRUE	0	1.08239333312927	1	0	0	0	0	0	1	0	Private	recent	0.7905089	1	78	Arm Eiken-beukenbos	Volledig in bos	0.2094911	5% tot < 25%	0
