code	count	cut	type	jaar
ES7939	10004	0.535423517	Onbebouwde ruimte	2013
FS8641	9999	0.044961911	Onbebouwde ruimte	2013
ES8440	10008	0.032100007	Onbebouwde ruimte	2013
DS7538	10006	0.445808291	Onbebouwde ruimte	2013
FS3741	10002	0.56242317	Onbebouwde ruimte	2013
ES2939	10008	0.246763468	Onbebouwde ruimte	2013
ES8340	10006	0.46505779	Onbebouwde ruimte	2013
DS7438	10008	0.766947389	Onbebouwde ruimte	2013
FS3641	10003	0.667827845	Onbebouwde ruimte	2013
ES2839	10006	0.025418937	Onbebouwde ruimte	2013
ES8240	10008	0.853832245	Onbebouwde ruimte	2013
DS7338	10006	0.455184668	Onbebouwde ruimte	2013
FS3541	10003	0.94042635	Onbebouwde ruimte	2013
FS1266	10004	0.245521501	Onbebouwde ruimte	2013
ES0464	10007	0.892400324	Onbebouwde ruimte	2013
ES5865	10005	0.708609939	Onbebouwde ruimte	2013
FS6567	10002	0.273610443	Onbebouwde ruimte	2013
FS1166	10005	0.052567728	Onbebouwde ruimte	2013
ES0364	10007	0.62995255	Onbebouwde ruimte	2013
ES5765	10007	0.632682085	Onbebouwde ruimte	2013
FS6467	10001	0.866119027	Onbebouwde ruimte	2013
FS1066	10005	0.170446232	Onbebouwde ruimte	2013
ES0264	10007	0.157884389	Onbebouwde ruimte	2013
ES5665	10007	0.330505431	Onbebouwde ruimte	2013
FS6367	10001	0.999500215	Onbebouwde ruimte	2013
FS0966	10006	0.020590885	Onbebouwde ruimte	2013
ES0164	10007	0.142049372	Onbebouwde ruimte	2013
ES5565	10007	0.026676606	Onbebouwde ruimte	2013
FS6267	10001	0.992315233	Onbebouwde ruimte	2013
FS0866	10005	0.013919522	Onbebouwde ruimte	2013
ES0064	10007	0.700582087	Onbebouwde ruimte	2013
ES5465	10007	0.092866473	Onbebouwde ruimte	2013
FS6167	10001	1.000100017	Onbebouwde ruimte	2013
FS0766	10005	0.412893981	Onbebouwde ruimte	2013
DS9964	10006	0.770550847	Onbebouwde ruimte	2013
ES5365	10007	0.352313995	Onbebouwde ruimte	2013
FS6067	10002	0.994408429	Onbebouwde ruimte	2013
FS0666	10006	0.856036663	Onbebouwde ruimte	2013
ES2739	10007	0.202826485	Onbebouwde ruimte	2013
ES8140	10005	0.843955398	Onbebouwde ruimte	2013
FS8842	9998	0.08364851	Onbebouwde ruimte	2013
FS3441	10002	0.665064156	Onbebouwde ruimte	2013
ES2639	10007	0.059076205	Onbebouwde ruimte	2013
ES8040	10008	0.755632639	Onbebouwde ruimte	2013
FS8742	10000	0.547103405	Onbebouwde ruimte	2013
ES2539	10008	0.038142286	Onbebouwde ruimte	2013
FS3341	10003	0.37347436	Onbebouwde ruimte	2013
ES7940	10006	0.249910504	Onbebouwde ruimte	2013
FS8642	9998	0.557982683	Onbebouwde ruimte	2013
ES2439	10007	0.31544894	Onbebouwde ruimte	2013
FS3241	10003	0.216122165	Onbebouwde ruimte	2013
ES7840	10007	0.252394706	Onbebouwde ruimte	2013
FS8542	9998	0.627174318	Onbebouwde ruimte	2013
ES2339	10008	0.115457974	Onbebouwde ruimte	2013
FS3141	10003	0.340107113	Onbebouwde ruimte	2013
ES7740	10006	0.369993836	Onbebouwde ruimte	2013
FS8442	9998	0.569094896	Onbebouwde ruimte	2013
ES2239	10008	0.212627888	Onbebouwde ruimte	2013
FS3041	10003	0.714796066	Onbebouwde ruimte	2013
ES7640	10007	0.808895469	Onbebouwde ruimte	2013
FS8342	10000	0.9151209	Onbebouwde ruimte	2013
ES2139	10006	0.544923782	Onbebouwde ruimte	2013
FS2941	10003	0.816972256	Onbebouwde ruimte	2013
ES7540	10006	0.331910729	Onbebouwde ruimte	2013
FS8242	9998	0.864743173	Onbebouwde ruimte	2013
ES2039	10007	0.696737885	Onbebouwde ruimte	2013
FS2841	10003	0.554684341	Onbebouwde ruimte	2013
ES7440	10005	0.05849601	Onbebouwde ruimte	2013
FS8142	9999	0.936730564	Onbebouwde ruimte	2013
ES1939	10008	0.669831753	Onbebouwde ruimte	2013
FS2741	10004	0.795801342	Onbebouwde ruimte	2013
ES7340	10006	0.008858015	Onbebouwde ruimte	2013
FS8042	9999	0.718737781	Onbebouwde ruimte	2013
ES1839	10008	0.098753832	Onbebouwde ruimte	2013
FS2641	10004	0.877243459	Onbebouwde ruimte	2013
ES7240	10007	0.030852834	Onbebouwde ruimte	2013
FS7942	9999	0.426799297	Onbebouwde ruimte	2013
ES1739	10008	0.565612614	Onbebouwde ruimte	2013
FS2541	10004	0.837073326	Onbebouwde ruimte	2013
ES7140	10006	0.496642709	Onbebouwde ruimte	2013
FS7842	10000	0.675486445	Onbebouwde ruimte	2013
ES7842	10008	0.606510401	Onbebouwde ruimte	2013
FS8544	9998	0.906095386	Onbebouwde ruimte	2013
FS3143	10004	0.991420269	Onbebouwde ruimte	2013
ES2341	10006	0.105599537	Onbebouwde ruimte	2013
ES7742	10006	0.855296969	Onbebouwde ruimte	2013
FS8444	9998	0.814194381	Onbebouwde ruimte	2013
ES2241	10006	0.245394871	Onbebouwde ruimte	2013
FS3043	10003	0.324632764	Onbebouwde ruimte	2013
ES7642	10008	0.88515991	Onbebouwde ruimte	2013
FS8344	9999	0.313996732	Onbebouwde ruimte	2013
ES2141	10005	0.55181396	Onbebouwde ruimte	2013
FS2943	10003	0.850256741	Onbebouwde ruimte	2013
ES7542	10006	0.441080064	Onbebouwde ruimte	2013
FS8244	9999	0.623140395	Onbebouwde ruimte	2013
ES2041	10007	0.793682516	Onbebouwde ruimte	2013
FS2843	10004	0.616664231	Onbebouwde ruimte	2013
ES7442	10007	0.331421435	Onbebouwde ruimte	2013
FS8144	10000	0.501275301	Onbebouwde ruimte	2013
ES1941	10007	0.701585591	Onbebouwde ruimte	2013
FS2743	10002	0.354685485	Onbebouwde ruimte	2013
ES7342	10006	0.278342217	Onbebouwde ruimte	2013
FS8044	9999	0.661693454	Onbebouwde ruimte	2013
ES1841	10007	0.206463575	Onbebouwde ruimte	2013
FS2643	10004	0.603588283	Onbebouwde ruimte	2013
ES7242	10008	0.10392376	Onbebouwde ruimte	2013
FS7944	10000	0.263287604	Onbebouwde ruimte	2013
ES7418	10004	0.432159126	Onbebouwde ruimte	2013
ES7318	10007	0.873624325	Onbebouwde ruimte	2013
ES7218	10006	0.224200502	Onbebouwde ruimte	2013
DS8620	10008	0.818927824	Onbebouwde ruimte	2013
ES4021	10007	0.465027213	Onbebouwde ruimte	2013
GS0224	9997	0.876536965	Onbebouwde ruimte	2013
ES9422	10005	0.291619003	Onbebouwde ruimte	2013
FS4823	10000	0.389236152	Onbebouwde ruimte	2013
ES3921	10007	0.894101083	Onbebouwde ruimte	2013
GS0124	9997	0.508096933	Onbebouwde ruimte	2013
ES9322	10006	0.218135759	Onbebouwde ruimte	2013
FS4723	10000	0.353840083	Onbebouwde ruimte	2013
GS0024	9996	0.408778369	Onbebouwde ruimte	2013
ES9222	10004	0.886820912	Onbebouwde ruimte	2013
FS4623	10002	0.055971205	Onbebouwde ruimte	2013
FS9924	9998	0.46425885	Onbebouwde ruimte	2013
ES9122	10004	0.89739728	Onbebouwde ruimte	2013
FS4523	10000	0.446109474	Onbebouwde ruimte	2013
FS9824	9996	0.854049504	Onbebouwde ruimte	2013
ES9022	10004	0.331067264	Onbebouwde ruimte	2013
ES8922	10007	0.08414042	Onbebouwde ruimte	2013
ES8822	10006	0.04490548	Onbebouwde ruimte	2013
ES8722	10005	0.470741361	Onbebouwde ruimte	2013
ES8622	10006	0.416906863	Onbebouwde ruimte	2013
ES8522	10004	0.474940985	Onbebouwde ruimte	2013
ES8422	10004	0.583010554	Onbebouwde ruimte	2013
ES8322	10008	0.549013317	Onbebouwde ruimte	2013
ES8222	10005	0.949565291	Onbebouwde ruimte	2013
ES2721	10008	0.852122843	Onbebouwde ruimte	2013
ES6762	10004	0.169576436	Onbebouwde ruimte	2013
FS7464	10000	0.877781808	Onbebouwde ruimte	2013
FS2063	10005	0.457206547	Onbebouwde ruimte	2013
ES1261	10007	0.366012394	Onbebouwde ruimte	2013
DS9062	10007	0.882418394	Onbebouwde ruimte	2013
ES9864	10006	0.514568448	Onbebouwde ruimte	2013
ES4463	10008	0.495939732	Onbebouwde ruimte	2013
FS5165	10002	0.353321403	Onbebouwde ruimte	2013
DS8962	10007	0.906056821	Onbebouwde ruimte	2013
ES9764	10005	0.300908476	Onbebouwde ruimte	2013
ES4363	10008	0.792379022	Onbebouwde ruimte	2013
FS5065	10002	0.862629473	Onbebouwde ruimte	2013
DS8862	10007	0.600381732	Onbebouwde ruimte	2013
ES9664	10006	0.174892128	Onbebouwde ruimte	2013
ES4263	10007	0.429118901	Onbebouwde ruimte	2013
FS4965	10002	0.491434783	Onbebouwde ruimte	2013
DS8762	10007	0.364758611	Onbebouwde ruimte	2013
ES9564	10006	0.259785891	Onbebouwde ruimte	2013
ES4163	10006	0.497755677	Onbebouwde ruimte	2013
FS4865	10003	0.860554636	Onbebouwde ruimte	2013
DS8662	10005	0.83700335	Onbebouwde ruimte	2013
ES9464	10007	0.321206629	Onbebouwde ruimte	2013
ES4063	10007	0.530166209	Onbebouwde ruimte	2013
FS4765	10002	0.820852995	Onbebouwde ruimte	2013
DS8562	10007	0.45446822	Onbebouwde ruimte	2013
ES9364	10005	0.018104808	Onbebouwde ruimte	2013
ES3963	10007	0.033894025	Onbebouwde ruimte	2013
FS4665	10002	0.413001657	Onbebouwde ruimte	2013
DS8462	10008	0.731548011	Onbebouwde ruimte	2013
ES9264	10006	0.271133661	Onbebouwde ruimte	2013
ES3863	10005	0.23263444	Onbebouwde ruimte	2013
FS4565	10003	0.356902719	Onbebouwde ruimte	2013
DS8362	10008	0.185662538	Onbebouwde ruimte	2013
ES9164	10007	0.067004785	Onbebouwde ruimte	2013
ES3763	10007	0.804129064	Onbebouwde ruimte	2013
FS4465	10002	0.427286237	Onbebouwde ruimte	2013
DS8262	10008	0.099837184	Onbebouwde ruimte	2013
ES9064	10006	0.082044639	Onbebouwde ruimte	2013
ES3663	10007	0.464104861	Onbebouwde ruimte	2013
FS4365	10003	0.278398037	Onbebouwde ruimte	2013
DS8162	10008	0.251746416	Onbebouwde ruimte	2013
ES8964	10006	0.103460908	Onbebouwde ruimte	2013
ES3563	10008	0.470797181	Onbebouwde ruimte	2013
FS4265	10004	0.683879554	Onbebouwde ruimte	2013
DS8062	10007	0.554838538	Onbebouwde ruimte	2013
ES8864	10007	0.34917292	Onbebouwde ruimte	2013
ES3463	10008	0.846990943	Onbebouwde ruimte	2013
FS9566	9998	0.754895449	Onbebouwde ruimte	2013
FS4165	10004	0.566367984	Onbebouwde ruimte	2013
DS7962	10008	0.936662138	Onbebouwde ruimte	2013
ES8764	10004	0.609331012	Onbebouwde ruimte	2013
ES3363	10008	0.710313976	Onbebouwde ruimte	2013
FS9466	9999	0.860557258	Onbebouwde ruimte	2013
FS4065	10002	0.302685171	Onbebouwde ruimte	2013
DS7862	10009	0.578105032	Onbebouwde ruimte	2013
ES8664	10007	0.467583984	Onbebouwde ruimte	2013
ES3263	10008	0.44413349	Onbebouwde ruimte	2013
FS9366	9998	0.534600854	Onbebouwde ruimte	2013
FS3965	10003	0.195727795	Onbebouwde ruimte	2013
DS7762	10008	0.186321095	Onbebouwde ruimte	2013
ES8564	10007	0.017518099	Onbebouwde ruimte	2013
ES3163	10007	0.854485691	Onbebouwde ruimte	2013
FS9266	9999	0.790222585	Onbebouwde ruimte	2013
FS3865	10003	0.083396904	Onbebouwde ruimte	2013
DS7662	10008	0.451749921	Onbebouwde ruimte	2013
ES8464	10005	0.042524882	Onbebouwde ruimte	2013
ES3063	10008	0.831992984	Onbebouwde ruimte	2013
FS6526	10000	0.903640389	Onbebouwde ruimte	2013
FS1125	10004	0.484047562	Onbebouwde ruimte	2013
ES5624	10006	0.521094263	Onbebouwde ruimte	2013
FS6426	10000	0.760256886	Onbebouwde ruimte	2013
FS1025	10004	0.451880544	Onbebouwde ruimte	2013
ES5524	10007	0.853733003	Onbebouwde ruimte	2013
FS6326	10001	0.523197472	Onbebouwde ruimte	2013
FS0925	10004	0.544122458	Onbebouwde ruimte	2013
ES5424	10006	0.747776926	Onbebouwde ruimte	2013
FS6226	10000	0.515919983	Onbebouwde ruimte	2013
FS0825	10004	0.099741302	Onbebouwde ruimte	2013
FS6126	10001	0.90754652	Onbebouwde ruimte	2013
FS0725	10004	0.462625057	Onbebouwde ruimte	2013
FS6026	10001	0.372621387	Onbebouwde ruimte	2013
FS0625	10004	0.485060811	Onbebouwde ruimte	2013
FS5926	10000	0.184187144	Onbebouwde ruimte	2013
FS0525	10004	0.208695665	Onbebouwde ruimte	2013
FS5826	10001	0.389296472	Onbebouwde ruimte	2013
FS0425	10004	0.292804956	Onbebouwde ruimte	2013
FS5726	10001	0.971113026	Onbebouwde ruimte	2013
FS0325	10004	0.207799584	Onbebouwde ruimte	2013
FS5626	10001	0.960499883	Onbebouwde ruimte	2013
FS0225	10004	0.68277806	Onbebouwde ruimte	2013
DS9323	10007	0.556362152	Onbebouwde ruimte	2013
FS5526	10001	0.480080187	Onbebouwde ruimte	2013
DS9223	10008	0.219082758	Onbebouwde ruimte	2013
ES4624	10007	0.544753909	Onbebouwde ruimte	2013
FS5426	10001	0.902151406	Onbebouwde ruimte	2013
ES4524	10007	0.270188242	Onbebouwde ruimte	2013
FS5326	10000	0.388997436	Onbebouwde ruimte	2013
ES4424	10004	0.308017045	Onbebouwde ruimte	2013
FS5226	10001	0.953847468	Onbebouwde ruimte	2013
DS8923	10006	0.478290379	Onbebouwde ruimte	2013
ES4324	10005	0.362277448	Onbebouwde ruimte	2013
FS5126	10004	0.926420808	Onbebouwde ruimte	2013
DS8823	10008	0.523524344	Onbebouwde ruimte	2013
ES4224	10007	0.400371879	Onbebouwde ruimte	2013
FS5026	10001	0.677697241	Onbebouwde ruimte	2013
DS8723	10008	0.847846329	Onbebouwde ruimte	2013
ES7426	10006	0.854187906	Onbebouwde ruimte	2013
FS2827	10004	0.762348115	Onbebouwde ruimte	2013
ES1925	10008	0.572119832	Onbebouwde ruimte	2013
FS8128	9998	0.966482282	Onbebouwde ruimte	2013
ES7326	10008	0.858642817	Onbebouwde ruimte	2013
ES1825	10006	0.430072844	Onbebouwde ruimte	2013
FS8028	10000	0.146788359	Onbebouwde ruimte	2013
ES7226	10005	0.497115523	Onbebouwde ruimte	2013
ES1725	10006	0.320890397	Onbebouwde ruimte	2013
FS7928	9998	0.422896028	Onbebouwde ruimte	2013
ES7126	10006	0.85012728	Onbebouwde ruimte	2013
ES1625	10008	0.121180996	Onbebouwde ruimte	2013
FS7828	9999	0.854799032	Onbebouwde ruimte	2013
ES7026	10004	0.892012417	Onbebouwde ruimte	2013
ES1525	10007	0.168531209	Onbebouwde ruimte	2013
FS7728	10000	0.260236204	Onbebouwde ruimte	2013
ES6926	10005	0.410378993	Onbebouwde ruimte	2013
ES1425	10008	0.251713902	Onbebouwde ruimte	2013
FS7628	10000	0.731873751	Onbebouwde ruimte	2013
ES6826	10006	0.600848317	Onbebouwde ruimte	2013
ES1325	10006	0.467509359	Onbebouwde ruimte	2013
FS7528	9999	0.319219619	Onbebouwde ruimte	2013
ES6726	10006	0.84148562	Onbebouwde ruimte	2013
ES1225	10007	0.693738937	Onbebouwde ruimte	2013
FS7428	9999	0.018493861	Onbebouwde ruimte	2013
ES6626	10004	0.791606009	Onbebouwde ruimte	2013
FS7328	9999	0.016033035	Onbebouwde ruimte	2013
ES6526	10005	0.784407198	Onbebouwde ruimte	2013
FS7228	9999	0.660948634	Onbebouwde ruimte	2013
ES6426	10006	0.253201276	Onbebouwde ruimte	2013
FS7128	10000	0.799566269	Onbebouwde ruimte	2013
ES6326	10007	0.213701338	Onbebouwde ruimte	2013
FS7028	10001	0.312474668	Onbebouwde ruimte	2013
ES6226	10003	0.597698569	Onbebouwde ruimte	2013
FS6928	10000	0.519320488	Onbebouwde ruimte	2013
ES6126	10005	0.169456974	Onbebouwde ruimte	2013
FS6828	9999	0.795049727	Onbebouwde ruimte	2013
ES6026	10006	0.514579058	Onbebouwde ruimte	2013
FS1427	10004	0.172897786	Onbebouwde ruimte	2013
FS6728	10000	0.856180549	Onbebouwde ruimte	2013
ES5926	10006	0.227763653	Onbebouwde ruimte	2013
FS1327	10004	0.827618122	Onbebouwde ruimte	2013
FS6628	10000	0.993410826	Onbebouwde ruimte	2013
ES5826	10007	0.621825278	Onbebouwde ruimte	2013
FS1227	10004	0.247804269	Onbebouwde ruimte	2013
ES5726	10004	0.875184536	Onbebouwde ruimte	2013
FS6528	10000	0.977527618	Onbebouwde ruimte	2013
FS1127	10004	0.094648235	Onbebouwde ruimte	2013
FS4964	10003	0.40258494	Onbebouwde ruimte	2013
DS8761	10007	0.289041638	Onbebouwde ruimte	2013
ES9563	10005	0.261684954	Onbebouwde ruimte	2013
ES4162	10008	0.774513006	Onbebouwde ruimte	2013
FS4864	10003	0.802934349	Onbebouwde ruimte	2013
DS8661	10008	0.823472261	Onbebouwde ruimte	2013
ES9463	10005	0.239148006	Onbebouwde ruimte	2013
ES4062	10008	0.290302843	Onbebouwde ruimte	2013
FS4764	10002	0.641737044	Onbebouwde ruimte	2013
DS8561	10008	0.373592764	Onbebouwde ruimte	2013
ES9363	10006	0.034980901	Onbebouwde ruimte	2013
ES3962	10008	0.193210512	Onbebouwde ruimte	2013
FS4664	10004	0.381449968	Onbebouwde ruimte	2013
DS8461	10008	0.884321392	Onbebouwde ruimte	2013
ES9263	10006	0.352900267	Onbebouwde ruimte	2013
ES3862	10007	0.616815746	Onbebouwde ruimte	2013
FS4564	10004	0.446340829	Onbebouwde ruimte	2013
DS8361	10007	0.307339609	Onbebouwde ruimte	2013
ES9163	10005	0.12234965	Onbebouwde ruimte	2013
ES3762	10008	0.312602937	Onbebouwde ruimte	2013
FS4464	10002	0.824117601	Onbebouwde ruimte	2013
FS8465	9999	0.456387639	Onbebouwde ruimte	2013
FS3064	10004	0.140620872	Onbebouwde ruimte	2013
ES2262	10008	0.449756354	Onbebouwde ruimte	2013
ES7663	10008	0.4253079	Onbebouwde ruimte	2013
FS8365	10001	0.87264967	Onbebouwde ruimte	2013
FS2964	10003	0.311943233	Onbebouwde ruimte	2013
ES2162	10009	0.558715463	Onbebouwde ruimte	2013
ES7563	10006	0.646822751	Onbebouwde ruimte	2013
FS8265	9999	0.918430924	Onbebouwde ruimte	2013
FS2864	10004	0.710531592	Onbebouwde ruimte	2013
ES2062	10008	0.932989419	Onbebouwde ruimte	2013
ES7463	10008	0.384294063	Onbebouwde ruimte	2013
FS8165	10000	0.342173278	Onbebouwde ruimte	2013
FS2764	10004	0.265966505	Onbebouwde ruimte	2013
ES1962	10008	0.379353285	Onbebouwde ruimte	2013
ES7363	10006	0.820164323	Onbebouwde ruimte	2013
FS8065	10000	0.500460207	Onbebouwde ruimte	2013
FS2664	10004	0.661713541	Onbebouwde ruimte	2013
ES1862	10008	0.817929804	Onbebouwde ruimte	2013
ES7263	10004	0.221047431	Onbebouwde ruimte	2013
FS7965	10000	0.867920756	Onbebouwde ruimte	2013
FS2564	10004	0.41797471	Onbebouwde ruimte	2013
ES1762	10008	0.647795796	Onbebouwde ruimte	2013
ES7163	10008	0.21030724	Onbebouwde ruimte	2013
FS7865	9999	0.38814348	Onbebouwde ruimte	2013
FS1265	10005	0.338080823	Onbebouwde ruimte	2013
ES0463	10009	0.376591682	Onbebouwde ruimte	2013
ES5864	10007	0.615548611	Onbebouwde ruimte	2013
FS6566	10002	0.019957539	Onbebouwde ruimte	2013
FS1165	10005	0.085575476	Onbebouwde ruimte	2013
ES0363	10008	0.412333369	Onbebouwde ruimte	2013
ES5764	10006	0.515256703	Onbebouwde ruimte	2013
FS6466	10001	0.367120296	Onbebouwde ruimte	2013
FS1065	10006	0.011954297	Onbebouwde ruimte	2013
ES0263	10008	0.170750394	Onbebouwde ruimte	2013
ES5664	10008	0.486355484	Onbebouwde ruimte	2013
FS6366	10001	0.571879327	Onbebouwde ruimte	2013
FS0965	10004	0.010216794	Onbebouwde ruimte	2013
ES0163	10008	0.181822419	Onbebouwde ruimte	2013
ES8866	10006	0.816184223	Onbebouwde ruimte	2013
ES3465	10008	0.671668708	Onbebouwde ruimte	2013
ES6916	10004	0.93239677	Onbebouwde ruimte	2013
ES6816	10008	0.861052096	Onbebouwde ruimte	2013
ES6716	10005	0.898444414	Onbebouwde ruimte	2013
ES6616	10005	0.870427251	Onbebouwde ruimte	2013
ES3134	10007	0.264068544	Onbebouwde ruimte	2013
FS3936	10004	0.378957003	Onbebouwde ruimte	2013
ES8535	10006	0.240714848	Onbebouwde ruimte	2013
DS7633	10007	0.904528737	Onbebouwde ruimte	2013
ES3034	10007	0.105977371	Onbebouwde ruimte	2013
FS3836	10003	0.509591162	Onbebouwde ruimte	2013
ES8435	10008	0.279809386	Onbebouwde ruimte	2013
DS7533	10008	0.846275151	Onbebouwde ruimte	2013
ES2934	10007	0.119993448	Onbebouwde ruimte	2013
FS3736	10001	0.366180956	Onbebouwde ruimte	2013
ES8335	10006	0.424589634	Onbebouwde ruimte	2013
DS7433	10007	0.919421077	Onbebouwde ruimte	2013
ES2834	10008	0.033798732	Onbebouwde ruimte	2013
FS3636	10004	0.495617718	Onbebouwde ruimte	2013
ES8235	10008	0.320513368	Onbebouwde ruimte	2013
DS7333	10008	0.401800454	Onbebouwde ruimte	2013
ES2734	10007	0.264196754	Onbebouwde ruimte	2013
FS3536	10003	0.734229386	Onbebouwde ruimte	2013
ES8135	10005	0.194656253	Onbebouwde ruimte	2013
ES2634	10007	0.283607632	Onbebouwde ruimte	2013
FS3436	10003	0.878643155	Onbebouwde ruimte	2013
ES8035	10006	0.20566462	Onbebouwde ruimte	2013
ES2534	10007	0.395941496	Onbebouwde ruimte	2013
FS3336	10002	0.658662915	Onbebouwde ruimte	2013
ES7935	10008	0.513278246	Onbebouwde ruimte	2013
ES2434	10007	0.19655849	Onbebouwde ruimte	2013
FS3236	10003	0.797397792	Onbebouwde ruimte	2013
ES7835	10005	0.926813006	Onbebouwde ruimte	2013
ES4446	10008	0.332549483	Onbebouwde ruimte	2013
FS5148	10003	0.094066754	Onbebouwde ruimte	2013
DS8945	10007	0.656293511	Onbebouwde ruimte	2013
ES9747	10004	0.149893776	Onbebouwde ruimte	2013
ES4346	10008	0.693987548	Onbebouwde ruimte	2013
DS8845	10008	0.461238593	Onbebouwde ruimte	2013
FS5048	10002	0.304445326	Onbebouwde ruimte	2013
ES4246	10005	0.302737981	Onbebouwde ruimte	2013
ES9647	10004	0.558283985	Onbebouwde ruimte	2013
DS8745	10008	0.245593488	Onbebouwde ruimte	2013
FS4948	10002	0.492259771	Onbebouwde ruimte	2013
ES4146	10007	0.420428902	Onbebouwde ruimte	2013
ES9547	10006	0.263323277	Onbebouwde ruimte	2013
DS8645	10007	0.933661997	Onbebouwde ruimte	2013
FS4848	10001	0.186411247	Onbebouwde ruimte	2013
ES4046	10007	0.461028636	Onbebouwde ruimte	2013
ES9447	10005	0.504559577	Onbebouwde ruimte	2013
DS8545	10008	0.391023219	Onbebouwde ruimte	2013
FS4748	10003	0.651006281	Onbebouwde ruimte	2013
ES3946	10008	0.881579161	Onbebouwde ruimte	2013
ES9347	10007	0.493986428	Onbebouwde ruimte	2013
DS8445	10007	0.223017588	Onbebouwde ruimte	2013
FS4648	10002	0.212790236	Onbebouwde ruimte	2013
ES3846	10008	0.508170784	Onbebouwde ruimte	2013
ES9247	10006	0.331827641	Onbebouwde ruimte	2013
DS8345	10007	0.599332571	Onbebouwde ruimte	2013
FS4548	10002	0.086907424	Onbebouwde ruimte	2013
ES3746	10007	0.053790364	Onbebouwde ruimte	2013
ES9147	10004	0.297455996	Onbebouwde ruimte	2013
DS8245	10007	0.764833152	Onbebouwde ruimte	2013
FS4448	10002	0.394719899	Onbebouwde ruimte	2013
ES3646	10008	0.0237647	Onbebouwde ruimte	2013
ES9047	10006	0.69344306	Onbebouwde ruimte	2013
